Time/s,Azimuth/deg,Zenith/deg
1335,27.15000000,46.99500000
1336,24.81000000,47.71500000
1337,30.89000000,45.56000000
1338,28.32000000,46.29300000
1339,25.88000000,46.99300000
1340,23.55000000,47.66300000
1341,29.59000000,45.66500000
1342,27.04000000,46.34400000
1343,24.61000000,46.99100000
1344,22.28000000,47.61000000
1345,28.28000000,45.77100000
1346,25.76000000,46.39500000
1347,23.34000000,46.98900000
1348,21.02000000,47.55700000
1349,26.98000000,45.87700000
1350,24.47000000,46.44600000
1351,22.07000000,46.98700000
1352,19.76000000,47.50300000
1353,25.67000000,45.98300000
1354,23.19000000,46.49700000
1355,20.80000000,46.98500000
1356,18.51000000,47.44900000
1357,24.36000000,46.09000000
1358,21.90000000,46.54800000
1359,19.53000000,46.98200000
1360,17.25000000,47.39500000
1361,23.05000000,46.19600000
1362,20.61000000,46.59900000
1363,18.27000000,46.98000000
1364,16.00000000,47.34000000
1365,21.73000000,46.30300000
1366,19.33000000,46.65100000
1367,17.00000000,46.97800000
1368,14.74000000,47.28500000
1369,20.42000000,46.40900000
1370,18.04000000,46.70200000
1371,15.73000000,46.97500000
1372,13.49000000,47.23000000
1373,19.10000000,46.51600000
1374,16.75000000,46.75400000
1375,14.47000000,46.97300000
1376,12.24000000,47.17500000
1377,17.78000000,46.62300000
1378,15.46000000,46.80500000
1379,13.20000000,46.97000000
1380,11.00000000,47.12000000
1381,16.46000000,46.72900000
1382,14.17000000,46.85700000
1383,11.94000000,46.96800000
1384,9.75000000,47.06400000
1385,15.14000000,46.83600000
1386,12.88000000,46.90900000
1387,10.67000000,46.96600000
1388,8.51000000,47.00900000
1389,13.81000000,46.94200000
1390,11.59000000,46.96000000
1391,9.41000000,46.96300000
1392,7.27000000,46.95300000
1393,12.49000000,47.04800000
1394,10.30000000,47.01200000
1395,8.15000000,46.96100000
1396,6.03000000,46.89700000
1397,11.16000000,47.15400000
1398,9.00000000,47.06300000
1399,6.88000000,46.95900000
1400,4.79000000,46.84200000
1401,9.83000000,47.25900000
1402,7.71000000,47.11500000
1403,5.62000000,46.95700000
1404,3.56000000,46.78700000
1405,8.50000000,47.36400000
1406,6.42000000,47.16600000
1407,4.36000000,46.95500000
1408,2.32000000,46.73100000
1409,7.17000000,47.46900000
1410,5.12000000,47.21800000
1411,3.10000000,46.95300000
1412,1.09000000,46.67600000
1413,5.83000000,47.57300000
1414,3.83000000,47.26900000
1415,1.84000000,46.95100000
1416,-0.14000000,46.62200000
1417,4.50000000,47.67700000
1418,2.53000000,47.32000000
1419,0.58000000,46.95000000
1420,-1.37000000,46.56700000
1421,3.16000000,47.78100000
1422,1.23000000,47.37100000
1423,-0.68000000,46.94800000
1424,-2.59000000,46.51300000
1425,1.82000000,47.88300000
1426,-0.06000000,47.42200000
1427,-1.94000000,46.94700000
1428,-3.82000000,46.45900000
1429,0.48000000,47.98600000
1430,-1.36000000,47.47300000
1431,-3.20000000,46.94600000
1432,-5.04000000,46.40600000
1433,-0.86000000,48.08700000
1434,-2.66000000,47.52400000
1435,-4.46000000,46.94500000
1436,-6.26000000,46.35300000
1437,-2.20000000,48.18800000
1438,-3.96000000,47.57400000
1439,-5.72000000,46.94400000
1440,-7.48000000,46.30000000
1441,-3.54000000,48.28900000
1442,-5.26000000,47.62500000
1443,-6.97000000,46.94400000
1444,-8.70000000,46.24800000
1445,-4.89000000,48.38800000
1446,-6.56000000,47.67500000
1447,-8.23000000,46.94400000
1448,-9.92000000,46.19700000
1449,-6.23000000,48.48700000
1450,-7.86000000,47.72500000
1451,-9.49000000,46.94400000
1452,-11.13000000,46.14600000
1453,-7.58000000,48.58500000
1454,-9.16000000,47.77400000
1455,-10.74000000,46.94400000
1456,-12.34000000,46.09500000
1457,-8.93000000,48.68300000
1458,-10.46000000,47.82400000
1459,-12.00000000,46.94500000
1460,-13.56000000,46.04600000
1461,-10.28000000,48.77900000
1462,-11.76000000,47.87300000
1463,-13.26000000,46.94600000
1464,-14.77000000,45.99700000
1465,-11.63000000,48.87400000
